Date,Amount
5/3/2016,905269.0
7/9/2016,183892.36000000004
2015-11-03,345249.88999999984
2015-12-17,902973.2400000005
5/4/2016,2906759.889999999
6/22/2016,1750928.0200000007
2015-12-22,3991518.4999999935
9/1/2016,271122.29000000027
5/11/2016,1367377.0300000003
2015-11-19,821590.0599999999
5/23/2016,850207.67
6/14/2016,673613.3099999998
7/26/2016,175831.53999999986
2015-12-16,6286097.380000008
2/22/2016,477346.8899999998
8/11/2016,109614.58999999995
2/10/2016,1704200.5599999996
1/26/2016,321311.3700000001
1/8/2016,7893320.089999998
5/25/2016,1872801.8199999991
9/23/2016,184952.84000000003
8/20/2016,108870.16000000002
6/9/2016,693125.5699999997
4/16/2016,141931.2099999999
5/12/2016,2755909.4199999985
7/2/2016,170187.17999999996
1/14/2016,1302898.4100000008
9/15/2016,477008.7200000001
2015-10-12,4949883.159999998
5/19/2016,1101452.3400000012
8/12/2016,140132.77000000008
2015-10-17,135129.6099999999
6/17/2016,1591540.8499999994
2015-11-04,1215196.55
2015-11-05,1836245.6100000006
9/10/2016,240925.34000000005
7/25/2016,6434.280000000001
2/20/2016,150069.77000000016
6/2/2016,467829.98
2/6/2016,127143.33000000003
1/29/2016,25423530.62000011
6/27/2016,969977.2700000004
9/27/2016,209821.13999999998
5/17/2016,749572.5500000002
2/8/2016,3935939.7699999986
7/28/2016,112060.10000000002
5/24/2016,1903743.6
2015-11-26,81751.36
2015-12-09,2266105.0799999987
2015-10-13,1769825.4299999997
2015-10-30,29485711.330000196
8/16/2016,451950.87
2/16/2016,2208172.3700000006
2/12/2016,5032177.299999996
2/17/2016,1425720.5900000008
9/19/2016,621.0
9/7/2016,485067.33000000025
2015-10-08,806701.6399999999
8/19/2016,4092404.3599999826
9/16/2016,3897267.0199999837
1/27/2016,4417825.259999995
2/2/2016,847320.16
3/28/2016,801316.2200000004
6/11/2016,267497.4499999999
5/18/2016,4709437.04
3/4/2016,5543097.8399999505
7/6/2016,353172.68000000005
2015-11-18,3036335.160000003
4/26/2016,2190995.9899999998
2015-12-08,1607363.8499999996
4/12/2016,601356.9700000001
2015-11-25,7560985.920000014
8/18/2016,202717.9800000001
9/24/2016,308063.6899999996
2015-12-24,59153.33000000002
2/26/2016,1076188.939999999
9/12/2016,210000.0
2/23/2016,703194.5700000005
7/18/2016,26767.329999999998
8/13/2016,181934.17000000013
2015-10-26,1174089.8099999994
4/4/2016,2738780.2699999907
6/4/2016,122604.59999999999
6/29/2016,206300.6200000002
9/14/2016,356612.01000000007
2/29/2016,25643409.270000115
2015-10-31,125847.73000000003
2015-10-15,937376.2900000005
2/15/2016,845078.8599999993
4/25/2016,445708.9699999998
1/28/2016,4322765.070000001
7/30/2016,125962.44999999994
2015-11-23,531677.0199999999
4/15/2016,4310404.139999976
2015-10-06,3358054.3399999985
2015-12-19,250012.51999999984
8/29/2016,9002.029999999999
2015-12-03,1933414.6900000004
7/14/2016,249061.14
2015-10-20,801687.5300000004
7/8/2016,3657613.7499999832
2/1/2016,422042.56999999983
2/9/2016,1397462.0500000003
6/23/2016,1892975.1799999995
1/4/2016,928149.71
4/30/2016,99412.09999999995
2/13/2016,158952.6300000001
5/16/2016,990105.6599999996
8/30/2016,181007.8100000002
5/31/2016,25690355.590000056
2015-10-21,1286672.4600000002
1/6/2016,824225.6399999998
2015-11-21,120596.76
9/3/2016,242225.63000000015
8/4/2016,232036.4099999998
9/21/2016,243470.03000000006
2015-11-20,925583.8799999992
1/30/2016,200910.33
4/22/2016,2383107.92
2015-12-11,4594352.259999989
8/24/2016,121035.95999999999
2015-11-16,381812.56999999995
5/28/2016,122591.00000000007
2015-12-14,2305044.2100000014
1/9/2016,285673.26000000036
2015-11-30,25853112.43000013
2015-12-21,1947888.1
3/24/2016,2580831.6599999983
6/3/2016,4628465.060000002
2015-12-12,140512.3800000001
9/20/2016,232551.66999999995
2015-12-23,31709983.130000204
3/23/2016,1217973.3099999994
7/29/2016,27871033.710000053
7/12/2016,251368.56000000017
9/26/2016,884787.7100000004
4/19/2016,677008.8500000002
2015-12-01,641197.3900000001
2015-10-05,2526734.7199999997
4/6/2016,1251078.7699999998
6/10/2016,5122444.699999981
1/21/2016,1465744.2099999988
3/1/2016,438584.3200000001
4/7/2016,382348.9100000003
4/5/2016,474783.1100000003
9/2/2016,3818416.1200000085
9/8/2016,333757.0100000004
6/1/2016,2767379.419999997
2015-11-17,871169.9499999997
6/21/2016,998090.2800000004
2015-10-01,975520.9600000003
7/21/2016,103389.99999999997
5/9/2016,2712688.120000001
5/5/2016,5099396.490000005
2/24/2016,2485530.6700000004
8/2/2016,115897.38
2015-12-18,2597845.4299999997
2/18/2016,534491.4600000002
1/23/2016,149117.1300000001
5/2/2016,354101.1100000001
6/13/2016,746488.3100000002
8/26/2016,1186809.6400000001
4/13/2016,1887211.4200000009
5/14/2016,123190.73000000007
2015-11-09,655924.8199999997
2015-11-07,108258.53000000006
8/31/2016,25449840.919999983
3/9/2016,4187757.660000002
8/1/2016,803.41
4/8/2016,3412897.160000001
1/5/2016,512740.32
2015-12-02,2112433.4400000004
2015-12-07,915945.6399999998
3/2/2016,3387312.2699999986
6/6/2016,2486541.1599999997
2015-10-14,3098261.789999999
7/13/2016,271984.3199999999
2015-10-02,4412858.939999995
2015-11-06,2828993.74
6/24/2016,7050153.799999988
1/13/2016,2413453.54
8/9/2016,269279.22000000003
1/7/2016,929238.6600000001
5/7/2016,198771.11000000002
7/11/2016,57546.40999999999
1/19/2016,2526425.810000001
7/27/2016,1041090.3700000003
1/22/2016,6227810.880000001
6/7/2016,1278984.47
7/7/2016,120423.6599999999
5/20/2016,1707659.380000002
3/22/2016,2175779.9100000006
3/16/2016,8383.29
8/27/2016,227390.44000000003
8/5/2016,6664402.209999976
8/6/2016,231447.33000000005
3/29/2016,1366199.4400000002
4/21/2016,1470699.0400000007
2015-10-22,2038069.0200000012
9/28/2016,253566.70000000022
2015-11-02,206957.90000000002
4/2/2016,148484.89999999997
2015-12-04,1329918.6199999996
8/17/2016,207466.18000000092
4/1/2016,5520002.379999986
5/21/2016,103514.52000000006
6/16/2016,3092226.6299999994
2015-11-14,221659.24999999994
4/11/2016,425900.02
2015-10-23,1359834.8400000012
9/9/2016,422839.0100000002
6/8/2016,1548255.47
7/19/2016,164922.92999999996
4/20/2016,2788099.510000002
7/20/2016,156019.23000000007
9/22/2016,251118.34000000005
3/10/2016,593431.84
8/22/2016,19417.769999999997
3/26/2016,383094.86999999965
8/10/2016,188570.44000000006
2/27/2016,94124.52999999998
2015-11-24,1897375.0399999996
2015-10-09,1383158.4699999995
5/30/2016,4276806.539999999
3/18/2016,17046.549999999996
2015-12-05,166711.06000000008
2/3/2016,2043596.1000000006
6/28/2016,289198.8200000001
7/15/2016,704261.05
3/11/2016,9333422.76000004
9/30/2016,29633933.79000016
1/11/2016,503851.89
1/25/2016,2108760.5999999996
6/20/2016,4061868.9800000004
2015-12-10,1220573.2999999998
3/31/2016,26125981.150000136
9/13/2016,171359.14000000022
1/16/2016,315209.10000000015
4/28/2016,1201994.17
3/8/2016,1636086.38
8/15/2016,335183.1099999999
4/14/2016,1071315.510000002
2015-10-07,1771295.2499999998
2015-11-12,535439.01
6/25/2016,244851.15000000005
1/12/2016,967832.2199999995
5/6/2016,1320864.6899999983
5/13/2016,5340417.209999976
6/18/2016,136281.76999999996
9/6/2016,1130.3600000000001
7/1/2016,109094.24
2015-10-24,153804.13
2015-10-27,2677660.929999996
7/22/2016,3445060.959999992
3/5/2016,233283.53000000023
5/26/2016,1534698.4200000002
3/3/2016,1052084.19
8/23/2016,146989.53000000006
2/25/2016,4856622.959999993
4/27/2016,3332237.499999995
8/3/2016,156240.74000000014
2015-12-15,2659499.6600000025
2015-10-19,483647.46000000014
1/20/2016,679615.71
2015-11-13,4965728.039999982
3/21/2016,784520.0299999994
2/5/2016,7341972.020000004
6/15/2016,2925945.0799999987
4/9/2016,160986.2999999999
4/18/2016,3803494.3700000006
9/29/2016,331479.1799999998
2015-10-16,6682984.129999978
2015-10-29,1294692.7199999993
8/25/2016,89120.48000000001
3/12/2016,126366.96000000002
4/29/2016,30474260.74000024
5/27/2016,5432884.819999984
2015-10-28,2467881.400000001
7/16/2016,104964.71999999997
5/10/2016,834641.7200000003
2/19/2016,4536665.619999991
1/15/2016,2199182.5099999993
4/23/2016,175447.67000000013
2015-11-10,4223500.0
3/25/2016,1663733.5199999998
2/4/2016,1337775.9300000004
2015-11-11,2562371.0800000005
3/30/2016,3729634.400000004
6/30/2016,25401135.88000004
3/7/2016,1171154.0499999998
2/11/2016,1233641.9400000004
9/17/2016,297827.8599999998
